"Protein.Group.","Protein.Accession..","Protein.Description","GN","PSM.","Total.Peptide.","Unique.Peptide.","X..Coverage","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SJPG0110984.001","sp|Q9H172|ABCG4_HUMAN","ATP-binding cassette sub-family G member 4 OS=Homo sapiens OX=9606 GN=ABCG4 PE=1 SV=2","ABCG4",2,2,0,2.94,0.00527013435219459,17.2110768169905,0.0412433500077946,0.967476918619079,0.987123417902286,-6.53919791572562
"SJPG0102474.001","sp|Q9NUJ1|ABHDA_HUMAN","Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Homo sapiens OX=9606 GN=ABHD10 PE=1 SV=1","ABHD10",42,11,0,39.21,0.0127358092991479,18.9615224365336,0.110486082743938,0.913033710302444,0.963772537847569,-6.53381820054177
"SJPG0102509.001","sp|Q8NFV4|ABHDB_HUMAN","Protein ABHD11 OS=Homo sapiens OX=9606 GN=ABHD11 PE=1 SV=1","ABHD11",100,14,0,49.2,0.264185595146458,20.0228608114308,1.31812116200104,0.201132340424501,0.450925349841808,-5.68445629290247
"SJPG0101892.001","sp|Q8N2K0|ABD12_HUMAN","Lysophosphatidylserine lipase ABHD12 OS=Homo sapiens OX=9606 GN=ABHD12 PE=1 SV=2","ABHD12",20,11,0,36.18,0.206006173228637,18.1289103845073,1.75062590528703,0.0940579328214852,0.303487665813356,-5.07321861597568
"SJPG0110988.001","sp|Q7L211|ABHDD_HUMAN","Protein ABHD13 OS=Homo sapiens OX=9606 GN=ABHD13 PE=2 SV=1","ABHD13",1,1,0,2.08,-0.134083386102763,17.4282953173437,-0.808745251286645,0.427391329586016,0.675630529837255,-6.2100653205999
"SJPG0105399.001","sp|Q9BUJ0|ABHEA_HUMAN","Protein ABHD14A OS=Homo sapiens OX=9606 GN=ABHD14A PE=2 SV=2","ABHD14A",3,2,0,9.22,-0.093117447313297,15.424774596564,-0.87490866754208,0.391151449989904,0.64509518366963,-6.15483990423553
"SJPG0102573.010","tr|A0A1B0GVQ8|A0A1B0GVQ8_HUMAN","ABHD14A-ACY1 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ABHD14A-ACY1 PE=4 SV=1","ABHD14A-ACY1",1,1,0,10.71,-0.0702642811262351,15.3328913870767,-0.571390472660881,0.573573461212981,0.782785260684082,-6.3740999713752
"SJPG0103572.001","sp|Q96IU4|ABHEB_HUMAN","Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1","ABHD14B",54,9,0,47.62,-0.174921168225467,19.6146025678624,-1.26644815853437,0.218704450843179,0.470879665786568,-5.74790067880992
"SJPG0109659.001","sp|Q6UXT9|ABH15_HUMAN","Protein ABHD15 OS=Homo sapiens OX=9606 GN=ABHD15 PE=1 SV=2","ABHD15",1,1,1,2.14,-0.0906640007617572,15.3162976935211,-0.802339346909176,0.431008190195824,0.678988917454858,-6.21519588912934
"SJPG0100884.001","sp|O95870|ABHGA_HUMAN","Phosphatidylserine lipase ABHD16A OS=Homo sapiens OX=9606 GN=ABHD16A PE=1 SV=3","ABHD16A",33,13,0,29.39,-0.0244545948223305,18.0397280946823,-0.165073000176082,0.870406120681044,0.946232622202744,-6.5261205303758
"SJPG0110990.001","sp|Q96GS6|AB17A_HUMAN","Alpha/beta hydrolase domain-containing protein 17A OS=Homo sapiens OX=9606 GN=ABHD17A PE=1 SV=1","ABHD17A",11,6,0,21.29,-0.244337590241635,18.7255984652562,-1.50911443970439,0.145612936728075,0.377824333447455,-5.4316306506141
"SJPG0110991.001","sp|Q5VST6|AB17B_HUMAN","Alpha/beta hydrolase domain-containing protein 17B OS=Homo sapiens OX=9606 GN=ABHD17B PE=1 SV=1","ABHD17B",33,12,1,53.47,-0.249346177508919,19.2452748060619,-1.75296700093327,0.0936464859940766,0.303487665813356,-5.06954579808948
"SJPG0110992.001","sp|Q6PCB6|AB17C_HUMAN","Alpha/beta hydrolase domain-containing protein 17C OS=Homo sapiens OX=9606 GN=ABHD17C PE=1 SV=2","ABHD17C",9,8,2,33.13,0.0278279273391711,17.5977031449801,0.298971124028182,0.767790676924523,0.895508282013537,-6.4943804689221
"SJPG0109419.001","sp|Q8TB40|ABHD4_HUMAN","(Lyso)-N-acylphosphatidylethanolamine lipase OS=Homo sapiens OX=9606 GN=ABHD4 PE=1 SV=1","ABHD4",4,3,1,14.33,-0.129919368774656,15.97093246541,-1.61667364571415,0.120314225976273,0.345025251399081,-5.27712417153965
"SJPG0109172.001","sp|Q8WTS1|ABHD5_HUMAN","1-acylglycerol-3-phosphate O-acyltransferase ABHD5 OS=Homo sapiens OX=9606 GN=ABHD5 PE=1 SV=1","ABHD5",4,3,1,14.33,-0.0716755705313261,16.9350095310257,-0.627028990293293,0.537145815648397,0.757632707375741,-6.34051134774294
"SJPG0104687.001","sp|Q9BV23|ABHD6_HUMAN","Monoacylglycerol lipase ABHD6 OS=Homo sapiens OX=9606 GN=ABHD6 PE=1 SV=1","ABHD6",38,10,10,37.68,0.144025122901787,19.7706650889792,1.18756945425671,0.24776899992726,0.501564316042874,-5.84051554855986
"SJPG0100306.001","sp|Q8IZP0|ABI1_HUMAN","Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4","ABI1",54,14,0,32.87,-0.0600282257322142,19.4075106270179,-0.622027244130272,0.540369065353674,0.759917956862003,-6.34365408196444
"SJPG0100441.001","sp|Q9NYB9|ABI2_HUMAN","Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1","ABI2",41,11,0,26.32,-0.107858182410968,19.1554500533041,-1.18144659103761,0.250140995211192,0.504283907060962,-5.84748737600701
"SJPG0105422.001","sp|Q9P2A4|ABI3_HUMAN","ABI gene family member 3 OS=Homo sapiens OX=9606 GN=ABI3 PE=1 SV=2","ABI3",3,2,0,8.2,-0.0346630055431678,15.6119998675724,-0.359192453077566,0.722903301032017,0.870918750403545,-6.47418153307572
"SJPG0108430.001","sp|Q7Z7G0|TARSH_HUMAN","Target of Nesh-SH3 OS=Homo sapiens OX=9606 GN=ABI3BP PE=1 SV=1","ABI3BP",28,10,0,11.26,-0.70860877539107,17.4146938968328,-3.21572022410614,0.00401012005726333,0.0561532616868875,-2.22383556708453
"SJPG0105892.001","sp|P00519|ABL1_HUMAN","Tyrosine-protein kinase ABL1 OS=Homo sapiens OX=9606 GN=ABL1 PE=1 SV=4","ABL1",17,11,0,9.47,0.0118429126590271,18.2591483293467,0.108940011493459,0.914245600148856,0.963997568906316,-6.5339918725504
"SJPG0102839.001","sp|P42684|ABL2_HUMAN","Tyrosine-protein kinase ABL2 OS=Homo sapiens OX=9606 GN=ABL2 PE=1 SV=1","ABL2",62,33,0,33.84,0.145255659141196,19.3022439264149,1.11416571189957,0.277329353840704,0.533619071973223,-5.92200049922479
"SJPG0100816.001","sp|O14639|ABLM1_HUMAN","Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3","ABLIM1",120,37,0,51.41,0.217387699980094,20.7267666480401,2.38014459636646,0.0264761444270003,0.156545229223202,-3.96684415249512
"SJPG0100974.001","sp|Q6H8Q1|ABLM2_HUMAN","Actin-binding LIM protein 2 OS=Homo sapiens OX=9606 GN=ABLIM2 PE=1 SV=2","ABLIM2",102,25,0,51.23,0.337848254830593,20.1174496223206,3.29635266501161,0.00331554234225743,0.050253001751564,-2.04460402277069
"SJPG0101842.001","sp|O94929|ABLM3_HUMAN","Actin-binding LIM protein 3 OS=Homo sapiens OX=9606 GN=ABLIM3 PE=1 SV=3","ABLIM3",90,30,3,47.73,0.168183047424673,19.985377518316,1.31439783789214,0.202360571138119,0.452199103877709,-5.68910010901547
"SJPG0103519.001","sp|Q12979|ABR_HUMAN","Active breakpoint cluster region-related protein OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=2","ABR",420,54,0,57.74,0.0177682036314977,22.1129258146659,0.09776164313985,0.923013941590837,0.967562830993644,-6.53517480872516
"SJPG0110998.001","sp|Q9P1F3|ABRAL_HUMAN","Costars family protein ABRACL OS=Homo sapiens OX=9606 GN=ABRACL PE=1 SV=1","ABRACL",2,1,1,16.05,-0.0409905118895786,17.6738733348185,-0.253255122705761,0.802441640268547,0.91459556803763,-6.50726550339468
"SJPG0100692.001","sp|Q15018|ABRX2_HUMAN","BRISC complex subunit Abraxas 2 OS=Homo sapiens OX=9606 GN=ABRAXAS2 PE=1 SV=2","ABRAXAS2",4,4,4,9.64,-0.276245682998873,17.3962532353023,-3.02287632370155,0.00629112092744312,0.0725074962705204,-2.64611591933032
"SJPG0110648.001","sp|Q8N961|ABTB2_HUMAN","Ankyrin repeat and BTB/POZ domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ABTB2 PE=2 SV=2","ABTB2",3,3,0,2.63,0.0121809843345098,16.9233223056313,0.0929775058118969,0.926769760144631,0.969170410018887,-6.53564202195724
"SJPG0103333.001","sp|P09110|THIK_HUMAN","3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens OX=9606 GN=ACAA1 PE=1 SV=2","ACAA1",99,20,0,61.32,-0.362090271672926,20.2008919119284,-0.98772011834224,0.334115470838874,0.593865075503079,-6.05142167757693
"SJPG0101749.001","sp|P42765|THIM_HUMAN","3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2","ACAA2",102,25,22,67.5,-0.659799714082801,20.421382787266,-2.51039933902107,0.0199787483115183,0.133890407679146,-3.71218272353273
"SJPG0102801.001","sp|Q13085|ACACA_HUMAN","Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2","ACACA",326,96,0,49.87,0.0855293195066196,19.9794087573049,0.913663749687519,0.370878373129644,0.626636742946306,-6.12061611668055
"SJPG0107529.001","sp|O00763|ACACB_HUMAN","Acetyl-CoA carboxylase 2 OS=Homo sapiens OX=9606 GN=ACACB PE=1 SV=3","ACACB",64,14,0,6.35,0.0997899121573056,18.8346443245447,0.92328774266283,0.365953980593227,0.623247619047582,-6.11190460305695
"SJPG0106937.001","sp|Q6JQN1|ACD10_HUMAN","Acyl-CoA dehydrogenase family member 10 OS=Homo sapiens OX=9606 GN=ACAD10 PE=1 SV=1","ACAD10",13,9,0,10.48,0.00391649557655427,16.9101609277367,0.0253154953248634,0.980033386215431,0.991779192261194,-6.53974091059861
"SJPG0106335.001","sp|Q709F0|ACD11_HUMAN","Acyl-CoA dehydrogenase family member 11 OS=Homo sapiens OX=9606 GN=ACAD11 PE=1 SV=3","ACAD11",23,16,0,22.69,0.105475994988939,17.8634265853266,0.629462734120877,0.535581197575495,0.757182455386028,-6.3389733855586
"SJPG0102568.001","sp|Q9UKU7|ACAD8_HUMAN","Isobutyryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAD8 PE=1 SV=1","ACAD8",13,5,0,12.05,0.0514905694646224,17.38509028611,0.481873862129838,0.634693027545718,0.818290994167586,-6.42177165086573
"SJPG0101497.001","sp|Q9H845|ACAD9_HUMAN","Complex I assembly factor ACAD9, mitochondrial OS=Homo sapiens OX=9606 GN=ACAD9 PE=1 SV=1","ACAD9",77,33,22,50.56,-0.0541131076611059,19.421932523781,-0.373106963678351,0.712668521876861,0.866198942518081,-6.46899475527271
"SJPG0100931.001","sp|P11310|ACADM_HUMAN","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1","ACADM",26,12,0,30.17,0.0105975776939111,18.224580433908,0.102861191102097,0.919012531383876,0.965531870493384,-6.53465101046392
"SJPG0102894.001","sp|P16219|ACADS_HUMAN","Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADS PE=1 SV=1","ACADS",28,10,0,33.25,-0.40818338864737,17.5698771245022,-2.37859716446937,0.0265639390892594,0.156639604050944,-3.96982327665704
"SJPG0102429.001","sp|P45954|ACDSB_HUMAN","Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADSB PE=1 SV=1","ACADSB",29,12,0,39.35,-0.334082958486665,18.4633263336755,-1.69254364518446,0.104772767827948,0.322148191660494,-5.16315453471848
"SJPG0101445.001","sp|P49748|ACADV_HUMAN","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1","ACADVL",83,26,0,42.59,-0.00155932018074623,19.7717307870075,-0.011666719707322,0.990797518354704,0.995638050763772,-6.539999455018
"SJPG0104809.001","sp|P16112|PGCA_HUMAN","Aggrecan core protein OS=Homo sapiens OX=9606 GN=ACAN PE=1 SV=3","ACAN",42,17,0,7.55,0.217922166086922,17.9063492887454,1.11293736139882,0.277845054863914,0.534181737468039,-5.92332488032187
"SJPG0110424.001","sp|Q15027|ACAP1_HUMAN","Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ACAP1 PE=1 SV=1","ACAP1",4,1,0,1.08,-0.108807559611279,17.2008156784069,-1.03348511982948,0.312695001289871,0.571761339551486,-6.00620369103976
"SJPG0103815.001","sp|Q15057|ACAP2_HUMAN","Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ACAP2 PE=1 SV=3","ACAP2",39,18,10,25.96,-0.0953492163566985,18.4953982068647,-1.494144557798,0.14945773338287,0.382251388006905,-5.45245853811327
